time,privacy,queries
16.48,2761.955688,1000
32.96,5547.446369,2000
49.44,8330.487811,3000
65.92,11178.77536,4000
82.4,13983.3444,5000
98.88,16796.26861,6000
115.36,19591.65255,7000
131.84,22378.06004,8000
148.32,25147.08036,9000
