time,privacy,queries
7.36,246.9064102,1000
14.72,501.2222743,2000
22.08,759.1511268,3000
29.44,1015.451783,4000
36.8,1275.014361,5000
44.16,1534.452097,6000
51.52,1792.870967,7000
58.88,2047.178275,8000
66.24,2313.522305,9000
73.6,2576.077102,10000
