time (sec),mode,accuracy,diff queries,privacy cost
300657,data free,87.43,350,66720000
301017.5,data free,87.35,350,66800000
301378,data free,87.53,350,66880000
301738.5,data free,86.45,350,66960000
302099,data free,87.86,350,67040000
302459.5,data free,87.17,350,67120000
302820,data free,87.57,350,67200000
303180.5,data free,87.24,350,67280000
303541,data free,87.3,350,67360000
303901.5,data free,87.63,350,67440000
304262,data free,87.67,350,67520000
304622.5,data free,86.83,350,67600000
304983,data free,88.29,350,67680000
305343.5,data free,86.87,350,67760000
305704,data free,86.78,350,67840000
306064.5,data free,87.2,350,67920000
306425,data free,87.1,350,68000000
306785.5,data free,87.57,350,68080000
307146,data free,87.29,350,68160000
307506.5,data free,87.35,350,68240000
307867,data free,87.04,350,68320000
308227.5,data free,86.81,350,68400000
308588,data free,87.26,350,68480000
308948.5,data free,87.37,350,68560000
309309,data free,87.16,350,68640000
309669.5,data free,86.9,350,68720000
310030,data free,86.48,350,68800000
310390.5,data free,86.31,350,68880000
310751,data free,86.79,350,68960000
311111.5,data free,86.74,350,69040000
311472,data free,87.08,350,69120000
311832.5,data free,86.6,350,69200000
312193,data free,86.93,350,69280000
312553.5,data free,87.61,350,69360000
312914,data free,87.3,350,69440000
313274.5,data free,87.32,350,69520000
313635,data free,87.28,350,69600000
313995.5,data free,87.68,350,69680000
314356,data free,86.19,350,69760000
314716.5,data free,87.3,350,69840000
315077,data free,86.36,350,69920000
315437.5,data free,87.41,350,70000000
315798,data free,86.03,350,70080000
316158.5,data free,86.61,350,70160000
316519,data free,86.17,350,70240000
316879.5,data free,86.47,350,70320000
317240,data free,86.47,350,70400000
317600.5,data free,86.98,350,70480000
317961,data free,87.21,350,70560000
318321.5,data free,86.65,350,70640000
318682,data free,88.04,350,70720000
319042.5,data free,87.42,350,70800000
319403,data free,85.79,350,70880000
319763.5,data free,87.09,350,70960000
320124,data free,86.6,350,71040000
320484.5,data free,86.76,350,71120000
320845,data free,86.79,350,71200000
321205.5,data free,86.99,350,71280000
321566,data free,87.15,350,71360000
321926.5,data free,86.56,350,71440000
0.2,jacobian,10,0,0
16.48,jacobian,33.9,16,2779.731419
32.96,jacobian,32.5,16,5609.74158
49.44,jacobian,32.9,16,8440.014586
65.92,jacobian,32.1,16,11280.05643
82.4,jacobian,32.3,16,14101.59562
98.88,jacobian,30.6,16,16959.24525
115.36,jacobian,33.1,16,19821.63547
131.84,jacobian,29.8,16,22711.04982
148.32,jacobian,30.5,16,25574.87187
164.8,jacobian,28.8,16,28477.99985
